title,author,category,isbn,year,copies
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,978-0345391803,1979,4
Dune,Frank Herbert,Fiction,978-0441013593,1965,3
The Lean Startup,Eric Ries,Technology,978-0307887894,2011,5
Deep Work,Cal Newport,Self-Help,978-1455586691,2016,3
Atomic Habits,James Clear,Self-Help,978-0735211292,2018,6
Python Crash Course,Eric Matthes,Computer Science,978-1593279288,2019,4
Structure and Interpretation of Computer Programs,Harold Abelson,Computer Science,978-0262510875,1996,2
The Selfish Gene,Richard Dawkins,Science,978-0198788607,1976,3
Guns Germs and Steel,Jared Diamond,History,978-0393317558,1997,4
Meditations,Marcus Aurelius,Philosophy,978-0812968255,180,5
Thinking in Systems,Donella Meadows,Science,978-1603580557,2008,3
The Pragmatic Programmer 2nd Ed,David Thomas,Computer Science,978-0135957059,2019,4
Man's Search for Meaning,Viktor Frankl,Psychology,978-0807014271,1946,5
Zero to One,Peter Thiel,Technology,978-0804139021,2014,4
The DevOps Handbook,Gene Kim,Computer Science,978-1942788003,2016,3
